fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
245100901003,50,9,18,9,22,32,9,31,15,16,15,39,15,16,62,0
245100901004,73,90,44,7,10,13,20,0,48,50,24,28,0,0,0,0
245100901005,36,0,19,9,34,31,10,10,28,40,0,20,36,0,0,16
245100902001,54,9,0,22,34,17,20,88,23,55,38,97,35,39,0,39
245100902002,64,30,24,7,34,12,7,23,7,43,61,230,106,7,22,8
245100903001,0,0,0,0,0,8,31,38,7,11,22,39,100,0,0,3
245100903002,163,117,42,110,19,0,8,0,5,5,22,74,12,0,0,0
245100903003,0,10,0,9,10,0,0,15,8,13,59,82,21,11,52,0
245100903004,81,23,108,71,40,9,42,10,7,54,29,48,119,15,21,0
245100904001,53,8,36,39,68,24,26,6,26,38,14,36,27,0,0,9
245100904002,66,15,58,10,23,24,33,12,6,8,0,7,0,0,0,0
245100905001,13,34,0,38,4,8,15,13,7,13,6,0,11,0,0,15
245100905002,73,20,38,18,33,13,29,96,0,36,31,38,0,17,58,0
245100906001,0,14,0,9,7,0,8,21,9,60,38,19,0,34,0,0
245100906002,65,11,17,44,7,26,0,0,21,17,9,36,11,12,0,0
245100906003,10,0,35,12,22,0,38,0,0,10,8,0,11,0,14,0
245100906004,36,19,19,0,0,58,52,41,39,43,22,10,8,0,0,0
245100907001,99,0,0,12,54,8,13,67,18,49,0,9,14,0,0,0
245100907002,32,9,0,47,10,0,20,0,0,16,0,0,11,22,0,0
245100907003,53,68,18,10,18,0,0,49,16,66,13,40,0,0,0,0
245100907004,17,15,0,0,61,45,10,0,8,9,11,23,9,0,0,0
245100908001,23,10,51,0,0,11,11,10,0,0,8,9,0,0,0,0
245100908002,0,10,26,11,33,0,63,15,14,10,57,0,0,0,15,0
245100908003,35,6,44,45,7,10,13,10,0,0,6,0,10,0,0,0
245100908004,74,61,20,29,9,37,11,0,8,24,71,21,48,0,0,0
245100908005,30,8,0,23,0,22,0,0,0,19,18,0,0,0,0,0
245100909001,39,27,0,0,10,37,8,0,0,0,0,0,0,0,0,0
245100909002,22,9,10,18,23,8,18,0,14,15,8,7,22,18,0,0
245100909003,43,0,9,7,0,0,0,5,9,8,30,28,8,0,0,0
245100909004,142,110,7,36,20,0,0,0,0,40,27,25,13,0,0,0
245101001001,19,35,0,50,5,27,14,0,12,0,13,0,4,11,0,0
245101001002,194,35,16,39,4,38,0,0,0,0,26,0,0,0,0,0
245101001003,13,0,0,0,5,12,0,8,4,0,12,43,28,0,0,0
245101001004,38,15,16,15,39,0,9,14,20,19,0,9,17,16,0,0
245101002001,102,55,71,27,0,0,0,5,4,7,21,0,0,0,0,0
245101002002,341,84,44,30,62,22,9,10,11,11,70,44,0,15,0,0
245101002003,106,0,0,0,15,4,0,37,0,0,0,0,0,0,0,0
245101003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245101101001,161,21,28,52,201,0,37,173,80,100,254,124,99,0,23,17
245101101002,128,18,48,52,115,40,11,62,42,30,26,30,18,0,23,0
245101102001,321,124,45,104,10,54,31,0,49,171,167,135,25,14,116,0
245101102002,113,244,82,73,65,82,0,32,40,70,14,14,32,0,61,15
245101102003,91,243,17,33,16,80,48,42,13,145,91,119,66,59,51,16
245101201001,12,0,0,26,13,0,13,15,11,30,0,33,0,31,95,188
245101201002,75,67,16,16,78,0,35,37,48,53,16,24,16,27,43,15
245101201003,60,11,0,37,17,46,47,0,0,20,114,83,78,37,33,91
245101201004,70,17,26,38,81,11,88,111,49,47,70,115,103,0,17,33
245101202011,15,70,52,13,11,4,10,30,6,19,45,65,56,28,27,42
245101202012,84,31,22,59,0,35,0,29,9,38,40,83,12,4,18,7
245101202021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245101202022,210,153,26,0,14,39,16,0,14,89,0,14,0,0,0,0
245101202023,96,0,28,18,12,0,0,0,0,0,0,11,23,0,0,18
245101202024,66,0,0,111,17,102,18,0,20,43,39,81,58,20,42,16
245101202025,184,19,112,0,25,38,17,69,77,41,0,0,0,0,0,33
245101203001,58,19,34,8,0,23,18,12,24,29,83,18,9,0,21,13
245101203002,0,43,0,13,0,21,23,0,32,70,39,37,26,0,12,17
245101203003,0,39,23,0,20,50,0,27,22,39,25,26,14,0,33,0
245101203004,116,48,45,24,19,39,53,18,0,22,8,6,14,0,0,8
245101204001,27,23,5,7,6,21,0,5,7,41,26,0,5,0,9,0
245101204002,19,40,64,13,20,13,12,38,22,38,23,15,13,0,11,0
245101205001,62,53,40,0,3,36,8,15,6,23,6,17,12,18,2,23
245101205002,132,23,36,51,35,51,36,80,7,0,60,34,26,9,5,3
245101206001,163,84,30,11,47,36,11,11,33,34,22,28,12,0,27,10
245101206002,99,28,41,55,32,0,59,22,25,42,14,21,29,8,0,12
245101206003,415,71,0,35,30,28,34,20,0,0,11,0,0,0,0,0
245101207001,55,24,0,0,29,21,4,22,32,48,38,49,60,4,21,10
245101207002,29,13,38,17,35,0,0,14,19,27,9,32,65,0,0,0
245101207003,46,0,30,62,19,17,8,5,46,43,32,42,0,0,0,0
245101301001,17,0,0,12,46,48,0,61,0,22,8,7,16,9,0,0
245101301002,173,102,0,23,5,0,0,17,12,0,24,0,10,35,0,0
245101301003,62,47,32,87,18,31,64,78,0,34,0,30,0,31,0,0
245101301004,27,36,38,59,8,44,0,11,7,35,0,0,30,11,0,22
245101302001,55,41,12,24,18,23,0,0,0,15,33,28,51,33,7,19
245101302002,112,58,24,0,74,60,56,0,0,16,19,0,29,0,0,0
245101302003,30,24,0,18,10,0,52,0,9,24,55,23,34,11,0,0
245101302004,0,0,15,0,24,21,0,12,0,30,25,0,15,11,0,9
245101303001,38,34,25,0,13,23,11,9,25,68,10,40,2,11,6,0
245101303002,12,26,15,65,0,12,39,0,0,24,0,12,0,0,0,0
245101303003,114,35,12,17,11,27,7,9,39,0,18,13,5,0,0,0
245101304001,41,47,4,9,0,0,23,25,0,17,33,0,29,5,43,0
245101304002,42,23,3,4,37,22,14,22,14,12,38,0,5,28,0,3
245101304003,48,39,22,18,9,44,34,0,9,5,12,7,0,0,10,0
245101306001,14,27,49,0,15,20,9,64,11,33,58,49,66,10,69,0
245101306002,9,6,14,48,6,53,39,24,0,59,36,41,46,20,31,8
245101306003,11,12,6,0,31,14,12,40,4,9,60,61,9,27,20,19
245101306004,30,12,13,31,7,10,10,40,0,36,51,88,65,46,32,14
245101307001,11,0,0,15,39,28,0,14,8,13,24,25,40,23,19,8
245101307002,19,0,0,13,11,0,30,60,18,0,89,50,0,69,32,40
245101307003,43,24,0,0,0,0,0,20,0,31,31,63,70,47,0,8
245101307004,11,37,16,48,49,29,33,32,10,15,27,117,18,0,0,0
245101307005,62,0,7,15,28,0,0,11,16,37,74,82,88,42,15,0
245101307006,79,81,42,20,43,11,25,29,0,18,8,13,63,18,37,0
245101308031,27,0,22,12,14,0,0,44,12,66,72,56,10,0,0,0
245101308032,10,9,10,8,6,16,9,51,30,115,47,33,42,17,17,20
245101308033,0,18,15,0,8,35,14,14,15,88,70,36,91,10,15,11
245101308041,25,48,21,0,8,14,20,37,23,29,15,42,7,26,14,7
245101308042,26,29,9,29,24,7,33,15,4,72,98,67,75,22,35,5
245101308051,79,64,36,20,47,26,17,0,31,56,96,69,49,19,18,0
245101308061,18,58,25,59,14,0,21,36,45,35,44,105,26,19,41,69
245101401001,114,0,0,33,0,20,0,29,15,0,37,119,9,37,41,51
245101401002,57,62,27,26,33,25,0,0,13,0,28,25,74,20,0,53
245101401003,214,31,74,22,46,0,14,0,0,22,13,18,20,48,0,14
245101401004,112,16,46,138,14,29,44,73,10,77,91,24,11,50,63,102
245101402001,113,64,40,0,0,10,18,0,0,16,10,0,0,0,0,0
245101402002,24,48,37,59,0,9,10,24,0,0,18,0,0,0,10,0
245101402003,47,9,0,11,0,8,0,0,0,9,0,0,0,22,0,0
245101402004,149,30,0,92,22,38,0,11,0,0,0,0,0,0,0,0
245101403001,117,45,12,10,0,5,0,9,0,0,0,0,9,0,0,0
245101403002,21,8,41,8,17,0,14,25,10,10,17,18,0,11,0,0
245101403003,28,55,7,43,0,19,23,19,16,13,4,9,11,0,0,5
245101403004,86,19,37,30,14,11,0,11,5,15,50,0,0,0,6,0
