fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
220710014014,6,27,13,0,13,0,8,0,0,10,5,0,0,0,0,0
220710014015,0,0,13,0,4,0,0,0,0,0,0,10,0,0,0,0
220710014016,10,2,4,0,0,0,5,5,0,0,5,0,0,0,0,0
220710014021,24,32,27,28,13,11,35,17,0,23,23,6,0,0,0,0
220710014022,24,5,17,0,0,5,9,0,26,0,0,23,10,0,0,0
220710014023,27,25,0,26,17,0,13,0,6,0,0,0,15,0,0,0
220710014024,89,61,34,16,10,5,6,0,0,31,13,0,16,0,0,0
220710015001,66,15,11,17,29,0,18,8,0,11,9,14,0,0,0,0
220710015002,29,29,0,0,25,16,31,9,0,0,5,6,0,0,0,0
220710016001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220710017011,29,9,25,24,29,27,30,16,0,9,17,13,0,0,0,0
220710017012,34,13,20,8,7,0,5,4,0,8,5,15,6,0,39,0
220710017013,40,18,5,32,28,3,9,0,6,11,4,19,8,0,14,0
220710017021,17,0,27,54,33,0,33,12,7,33,19,16,14,16,0,0
220710017022,33,50,31,45,10,8,9,6,8,11,47,25,10,0,0,14
220710017023,19,27,13,17,27,0,0,0,0,31,10,5,29,11,0,0
220710017024,10,0,9,22,7,9,0,0,17,20,12,0,0,0,0,0
220710017201,0,0,13,7,42,0,9,11,0,53,33,38,15,0,10,0
220710017202,17,10,17,0,0,42,0,18,0,23,45,7,19,0,0,0
220710017203,56,102,22,32,46,36,23,8,0,0,14,11,17,0,0,0
220710017204,47,127,9,10,40,0,0,27,12,0,28,19,11,0,0,0
220710017221,16,23,0,22,0,26,0,18,0,23,35,0,0,0,0,0
220710017222,24,9,15,0,10,23,9,9,91,0,0,40,0,0,0,0
220710017223,65,0,75,27,21,44,49,7,9,33,12,10,9,0,0,0
220710017224,0,11,25,13,20,19,14,0,0,15,18,0,16,0,10,0
220710017225,76,58,12,67,11,14,0,6,8,30,17,26,11,0,0,0
220710017226,0,11,16,21,5,0,0,34,7,0,0,15,0,0,0,0
220710017227,32,0,0,0,33,21,0,0,0,0,0,0,0,0,0,0
220710017231,44,17,13,52,10,20,7,35,0,0,46,9,14,0,0,0
220710017232,113,97,56,28,19,44,0,12,25,25,35,101,85,0,0,0
220710017233,66,39,79,0,11,9,11,22,0,16,19,20,25,0,0,0
220710017234,124,48,0,24,12,82,9,29,27,36,35,10,10,0,15,0
220710017241,30,36,0,0,23,50,28,0,0,11,22,4,19,10,9,0
220710017242,80,23,41,10,55,0,0,26,53,0,19,55,47,35,0,0
220710017243,154,70,18,79,95,10,60,14,16,7,9,60,0,0,0,0
220710017244,41,62,53,40,13,30,0,0,58,18,6,37,0,19,0,0
220710017251,151,114,79,88,63,25,22,0,0,70,20,9,43,9,0,0
220710017252,88,45,48,16,16,0,20,10,0,24,45,55,32,0,0,0
220710017253,117,48,42,21,117,74,0,31,0,119,108,25,13,0,0,0
220710017254,31,83,37,0,23,44,12,31,0,55,113,125,24,0,0,0
220710017301,43,37,17,5,12,22,9,3,4,16,34,57,8,0,0,0
220710017341,0,20,0,16,18,4,14,7,22,16,21,62,24,16,22,7
220710017351,103,40,24,13,30,32,44,49,11,13,53,7,9,0,0,0
220710017352,97,30,33,10,28,6,5,10,0,82,22,14,0,11,5,0
220710017361,72,9,41,9,0,12,0,0,0,13,0,0,0,0,0,0
220710017362,80,16,26,32,48,48,11,41,25,30,45,18,44,16,0,0
220710017371,149,36,117,48,100,62,35,53,12,14,39,39,0,0,0,0
220710017372,7,0,10,11,31,17,34,16,19,29,47,49,12,0,0,0
220710017373,35,55,49,0,6,0,0,6,16,0,6,43,14,11,0,0
220710017391,35,65,21,29,61,0,11,44,25,30,8,57,11,0,4,0
220710017392,24,12,20,0,11,7,41,0,3,6,11,0,25,4,19,0
220710017401,16,0,0,63,11,17,100,28,0,79,56,59,26,10,11,0
220710017402,193,47,104,33,15,65,10,42,36,6,60,35,62,7,0,0
220710017403,61,17,27,24,101,54,45,29,10,20,49,93,20,38,33,0
220710017411,19,61,5,60,19,33,12,18,36,20,49,95,27,4,0,6
220710017431,82,47,62,68,29,5,37,14,4,24,10,24,20,44,19,3
220710017432,16,13,111,19,67,0,0,61,0,59,11,0,27,19,0,0
220710017441,83,46,93,0,34,29,0,24,43,7,0,25,59,11,0,0
220710017442,186,33,46,33,17,18,16,10,0,0,38,70,0,0,0,0
220710017443,112,19,11,16,63,71,0,6,30,0,24,0,8,0,11,0
220710017451,196,88,72,74,37,15,86,40,38,15,78,6,79,34,18,0
